
 ____                                 _         ____  ____  __  __
/ ___| __ _ _ __ ___  _   _ _ __   __| | __ _  | __ )|  _ \|  \/  |
| |   / _` | '_ ` _ \| | | | '_ \ / _` |/ _` | |  _ \| |_) | |\/| |
| |__| (_| | | | | | | |_| | | | | (_| | (_| | | |_) |  __/| |  | |
\____/\__,_|_| |_| |_|\__,_|_| |_|\__,_|\__,_| |____/|_|   |_|  |_|

  Spring-Boot:  (v2.3.1.RELEASE)
  Camunda BPM: (v7.14.0)
  Camunda BPM Spring Boot Starter: (v7.14.0)


2021-02-13 13:49:18.491  INFO 22360 --- [nio-8080-exec-1] o.s.web.servlet.DispatcherServlet        : Completed initialization in 8 ms
2021-02-13 13:49:18.732  WARN 22360 --- [nio-8080-exec-1] o.a.c.util.SessionIdGeneratorBase        : Creation of SecureRandom instance for session ID generation using [SHA1PRNG] took [229] milliseconds.
2021-02-13 13:49:43.944  INFO 22360 --- [nio-8080-exec-2] ru.dvfedotov.process.TaskReserveCar      : ******* TaskReserveCar *********** 3v7
2021-02-13 13:49:51.109  INFO 22360 --- [nio-8080-exec-1] ru.dvfedotov.process.TaskBookHotel       : ******* TaskBookHotel *********** 3v7
2021-02-13 13:49:51.109  INFO 22360 --- [nio-8080-exec-1] ru.dvfedotov.process.TaskBookHotel       : ******* processDefinitionId =  1acd941d-6de9-11eb-a6de-6c6a77db77f2
2021-02-13 13:49:51.109  INFO 22360 --- [nio-8080-exec-1] ru.dvfedotov.process.TaskBookHotel       : ******* activityInstanceId =  taskBookHotel:32be93a4-6de9-11eb-a6de-6c6a77db77f2
2021-02-13 13:49:51.109  INFO 22360 --- [nio-8080-exec-1] ru.dvfedotov.process.TaskBookHotel       : ******* currentActivityId  =  taskBookHotel
2021-02-13 13:49:51.109  INFO 22360 --- [nio-8080-exec-1] ru.dvfedotov.process.TaskBookHotel       : ******* currentActivityName  =  Book hotel
2021-02-13 13:49:51.110  INFO 22360 --- [nio-8080-exec-1] ru.dvfedotov.process.TaskBookHotel       : ******* parentActivityInstanceId  =  2929e0ee-6de9-11eb-a6de-6c6a77db77f2
2021-02-13 13:49:51.110  INFO 22360 --- [nio-8080-exec-1] ru.dvfedotov.process.TaskBookHotel       : ******* parentId  =  null
2021-02-13 13:49:51.110  INFO 22360 --- [nio-8080-exec-1] ru.dvfedotov.process.TaskBookHotel       : ******* processInstanceId   =  2929e0ee-6de9-11eb-a6de-6c6a77db77f2
2021-02-13 13:49:51.110  INFO 22360 --- [nio-8080-exec-1] ru.dvfedotov.process.TaskBookHotel       : ******* history   =  full
2021-02-13 13:49:51.110  INFO 22360 --- [nio-8080-exec-1] ru.dvfedotov.process.TaskBookHotel       : ******* versionTag =  v7
2021-02-13 13:50:00.821  INFO 22360 --- [nio-8080-exec-3] ru.dvfedotov.process.TaskBookHotel       : ******* TaskBookHotel *********** 1v6
2021-02-13 13:50:00.821  INFO 22360 --- [nio-8080-exec-3] ru.dvfedotov.process.TaskBookHotel       : ******* processDefinitionId =  c206da04-6de1-11eb-9819-6c6a77db77f2
2021-02-13 13:50:00.821  INFO 22360 --- [nio-8080-exec-3] ru.dvfedotov.process.TaskBookHotel       : ******* activityInstanceId =  taskBookHotel:388882af-6de9-11eb-a6de-6c6a77db77f2
2021-02-13 13:50:00.821  INFO 22360 --- [nio-8080-exec-3] ru.dvfedotov.process.TaskBookHotel       : ******* currentActivityId  =  taskBookHotel
2021-02-13 13:50:00.821  INFO 22360 --- [nio-8080-exec-3] ru.dvfedotov.process.TaskBookHotel       : ******* currentActivityName  =  Book hotel
2021-02-13 13:50:00.821  INFO 22360 --- [nio-8080-exec-3] ru.dvfedotov.process.TaskBookHotel       : ******* parentActivityInstanceId  =  9ed45dd1-6de8-11eb-8215-6c6a77db77f2
